Especie;Orden;Familia;CITES;IUCN;Distribucion
Apis mellifera;Hymenoptera;APIDAE;NA;No Evaluado (NE);Cosmopolita
Frieseomelitta nigra;Hymenoptera;APIDAE;NA;No Evaluado (NE);Restringida
Geotrigona chiriquiensis;Hymenoptera;APIDAE;NA;No Evaluado (NE);Restringida
Melipona favosa;Hymenoptera;APIDAE;NA;No Evaluado (NE);Restringida
Partamona musarum;Hymenoptera;APIDAE;NA;No Evaluado (NE);Restringida
Apoica pallens;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Brachygastra lecheguana;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Mischocyttarus sp;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Parachartergus colobopterus;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polistes carnifex;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polistes versicolor;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polybia ignobilis;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polybia occidentalis;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polybia sp;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Polybia velutina;Hymenoptera;VESPIDAE;NA;No Evaluado (NE);Restringida
Trichopodus pectoralis;Anabantiformes;OSPHRONEMIDAE;NA;Preocupación Menor (LC);Cosmopolita
Andinoacara latifrons;Blenniiformes;CICHLIDAE;NA;Preocupación Menor (LC);Endémica
Caquetaia kraussii;Blenniiformes;CICHLIDAE;NA;No Evaluado (NE);Restringida
Poecilia caucana;Blenniiformes;POECILIIDAE;NA;Preocupación Menor (LC);Restringida
Rachovia hummelincki;Blenniiformes;RIVULIDAE;NA;No Evaluado (NE);Restringida
Rachovia myersi;Blenniiformes;RIVULIDAE;NA;En Peligro (EN);Endémica
Rachovia sp1;Blenniiformes;RIVULIDAE;NA;NA;Restringida
Rachovia sp2;Blenniiformes;RIVULIDAE;NA;NA;Restringida
Megaleporinus muyscorum;Characiformes;ANOSTOMIDAE;NA;Vulnerable (VU);Endémica
Astyanax aff. fasciatus;Characiformes;CHARACIDAE;NA;NA;Restringida
Astyanax magdalenae;Characiformes;CHARACIDAE;NA;No Evaluado (NE);Restringida
Hyphessobrycon proteus;Characiformes;CHARACIDAE;NA;Preocupación Menor (LC);Endémica
Roeboides dayi;Characiformes;CHARACIDAE;NA;Preocupación Menor (LC);Restringida
Ctenolucius hujeta;Characiformes;CTENOLUCIIDAE;NA;No Evaluado (NE);Restringida
Cyphocharax magdalenae;Characiformes;CURIMATIDAE;NA;Preocupación Menor (LC);Restringida
Hoplias malabaricus;Characiformes;ERYTHRINIDAE;NA;Preocupación Menor (LC);Restringida
Prochilodus magdalenae;Characiformes;PROCHILODONTIDAE;NA;Datos Insuficientes (DD);Endémica
Brachyhypopomus occidentalis;Gymnotiformes;HYPOPOMIDAE;NA;Preocupación Menor (LC);Restringida
Eigenmannia camposi;Gymnotiformes;STERNOPYGIDAE;NA;No Evaluado (NE);Endémica
Sternopygus aequilabiatus;Gymnotiformes;STERNOPYGIDAE;NA;Preocupación Menor (LC);Restringida
Trachelyopterus insignis;Siluriformes;AUCHENIPTERIDAE;NA;Preocupación Menor (LC);Endémica
Hoplosternum magdalenae;Siluriformes;CALLICHTHYIDAE;NA;Preocupación Menor (LC);Restringida
Rhamdia guatemalensis;Siluriformes;HEPTAPTERIDAE;NA;Preocupación Menor (LC);Restringida
Dasyloricaria filamentosa;Siluriformes;LORICARIIDAE;NA;Preocupación Menor (LC);Endémica
Synbranchus marmoratus;Synbranchiformes;SYNBRANCHIDAE;NA;Preocupación Menor (LC);Restringida
Rhinella horribilis;Anura;BUFONIDAE;NA;Preocupación Menor (LC);Restringida
Rhinella humboldti;Anura;BUFONIDAE;NA;Preocupación Menor (LC);Endémica
Ceratophrys calcarata;Anura;CERATOPHRYIDAE;NA;Preocupación Menor (LC);Restringida
Boana platanera;Anura;HYLIDAE;NA;Preocupación Menor (LC);Restringida
Boana pugnax;Anura;HYLIDAE;NA;Preocupación Menor (LC);Restringida
